word_cn,word_en,semantic_hint
魔术贴,Velcro,
钱包,Wallet,
口哨,Whistle,
拉链,Zipper,

# ============================================
# 左下象限: 引擎/能量 (Drones/Hum)
# 静态 + 科幻
# ============================================
飞船待机,Spaceship,idle
引擎轰鸣,Engine,hum
推进器,Thruster,
反应堆,Reactor,
核心,Core,hum
力场,Force,field
护盾,Shield,
能量罩,Energy,dome
屏障,Barrier,
防护,Protection,field
电流,Electric,current
电弧,Arc,
静电,Static,electricity
电磁,Electromagnetic,
高压,High,voltage
低频扫描,Low,scan
雷达,Radar,
声呐,Sonar,
探测,Detection,
扫描,Scanning,
合成铺底,Synth,pad
合成长音,Synth,drone
合成氛围,Synth,atmosphere
数字纹理,Digital,texture
电子噪音,Electronic,noise
机械呼吸,Mech,breathing
液压待机,Hydraulic,idle
气压,Pneumatic,
机械循环,Mechanical,loop
工业噪音,Industrial,noise
外星氛围,Alien,ambience
异世界,Otherworldly,
虫洞,Wormhole,
超空间,Hyperspace,
次元裂隙,Dimensional,rift
恐怖氛围,Horror,drone
惊悚氛围,Suspense,drone
紧张氛围,Tension,drone
不安氛围,Unease,drone
诡异氛围,Eerie,drone
# 从 Core HF 补充 - Industrial
工厂,Factory,
工业,Industrial,
机器,Machine,
机械装置,Machinery,
机制,Mechanism,
加工,Processing,
生产,Production,
仓库,Warehouse,
轴承,Bearing,
皮带,Belt,
链条工业,Chain,
齿轮小,Cog,
压缩机,Compressor,
传送带,Conveyor,
起重机,Crane,
气缸,Cylinder,
引擎,Engine,
风扇排气扇,Fan,
齿轮,Gear,
发电机,Generator,
液压,Hydraulic,
杠杆拉杆,Lever,
马达,Motor,
活塞,Piston,
气动,Pneumatic,action
泵,Pump,
滑轮,Pulley,
棘轮,Ratchet,
机械臂,Robot,Arm
转子,Rotor,
伺服电机,Servo,
弹簧,Spring,
蒸汽,Steam,
储罐,Tank,
涡轮,Turbine,
阀门,Valve,
通风口,Vent,
嗡嗡声,Hum,
循环运行,Loop,industrial
隆隆声工业,Rumble,industrial
振动,Vibrate,
呼呼声旋转,Whir,
# 从 Core HF 补充 - Sci-Fi Tech
科幻,Sci,Fi
激光,Laser,
等离子,Plasma,
能量,Energy,
充能,Power,Up
关机能量耗尽,Power,Down
传送,Teleport,
机器人,Droid,
变形,Transformation,
警报科幻,Alarm,scifi
电脑主机,Computer,
生化人,Cyborg,
数据流,Data,
对接,Docking,
无人机,Drone,tech
全息图,Hologram,
超空间引擎,Hyperdrive,
接口,Interface,
故障科幻,Malfunction,scifi
纳米机器人,Nanobot,
跃迁,Warp,
遥测信号,Telemetry,
飞船,Spaceship,

# ============================================
# 右下象限: 武器/UI (Weapons/UI)
# 瞬态 + 科幻
# ============================================
激光枪,Laser,gun
激光射击,Laser,fire
激光充能,Laser,charge
激光爆发,Laser,burst
光束,Beam,
等离子炮,Plasma,cannon
粒子束,Particle,beam
能量弹,Energy,bolt
离子,Ion,blast
UI点击,UI,click
UI确认,UI,confirm
UI取消,UI,cancel
UI滑动,UI,swipe
UI弹出,UI,popup
通知音,Notification,
提示音,Alert,
警报,Alarm,
错误,Error,
成功,Success,
机械重组,Mech,transform
变形机械,Morph,mech
组装,Assembly,
分解,Disassembly,
折叠,Folding,mech
数字故障,Digital,glitch
数据损坏,Data,corrupt
系统崩溃,System,crash
程序错误,Code,error
故障音,Malfunction,
机器人动作,Robot,action
伺服电机瞬态,Servo,transient
齿轮瞬态,Gear,transient
活塞瞬态,Piston,transient
传送瞬态,Teleport,transient
空间跳跃,Warp,jump
瞬移,Blink,
相位,Phase,shift
量子,Quantum,
# 从 Core HF 补充 - Weapons
枪,Gun,
射击,Shot,
开火,Fire,weapon
换弹,Reload,
弹壳,Shell,
子弹,Bullet,
跳弹,Ricochet,bullet
爆炸,Explosion,
爆破,Blast,
碎片残骸,Debris,
剑,Sword,
刀,Knife,
匕首,Dagger,
入鞘,Sheath,
出鞘,Unsheath,
挥舞,Swing,weapon
突击步枪,Assault,Rifle
全自动,Automatic,
栓动,Bolt,Action
加农炮,Cannon,
弹夹,Clip,
上膛,Cocking,
空枪击空,Dry,Fire
操作拿取,Handling,
收枪入套,Holster,
机枪,Machine,Gun
弹匣,Magazine,
手枪,Pistol,
泵动,Pump,Action
左轮手枪,Revolver,
步枪,Rifle,
保险开关,Safety,
半自动,Semi,Auto
散弹枪,Shotgun,
消音器,Silencer,
狙击枪,Sniper,
抑制器,Suppressor,
扳机,Trigger,
塑胶炸药,C4,
引爆,Detonate,
引信导火索,Fuse,
手榴弹,Grenade,
地雷,Mine,
导弹,Missile,
火箭,Rocket,
弹片,Shrapnel,
斧头,Axe,
球棒,Bat,
格挡,Block,
钝器,Blunt,
棍棒,Club,
撬棍,Crowbar,
拳头,Fist,
战锤,Hammer,
武士刀,Katana,
砍刀,Machete,
招架,Parry,
盾牌,Shield,weapon
长矛,Spear,
法杖长棍,Staff,
鞭子,Whip,
箭,Arrow,
弓,Bow,
弩,Crossbow,
拉弓,Draw,
箭羽声,Feather,
箭袋,Quiver,
弓弦,String,
# 从 Core HF 补充 - UI
用户界面,UI,
选择,Select,
确认,Confirm,
取消,Cancel,
返回,Back,
拒绝,Deny,
哔声,Beep,
短促信号音,Blip,
静电噪点,Static,ui
通知,Notification,ui
关闭,Close,
减少,Decrease,
拖动,Drag,ui
放下,Drop,ui
装备,Equip,
失败,Fail,
悬停,Hover,
增加,Increase,
升级,Level,Up
登录,Login,
登出,Logout,
菜单,Menu,
消息,Message,
最小化,Minimize,
最大化,Maximize,
打开,Open,
暂停,Pause,
播放,Play,
购买,Purchase,
保存,Save,
滚动,Scroll,
成功音,Success,ui
切换开关,Toggle,
打字字幕显示,Typing,
强化,Upgrade,

# ============================================
# 中性/过渡词汇
# ============================================
冲击通用,Impact,general
爆炸通用,Explosion,general
爆发,Burst,
轰鸣,Boom,
震动,Rumble,general
嗡嗡,Buzz,general
嗡鸣,Hum,general
共振,Resonance,
颤动,Vibration,
脉动,Pulse,
充能通用,Charge,
释放,Release,
激活,Activate,
关闭通用,Deactivate,
启动,Power,up
关机通用,Power,down
循环,Loop,
重复,Repeat,
节奏,Rhythm,
节拍,Beat,
# 从 Core HF 补充 - Vehicles
汽车,Car,
启动汽车,Start,car
怠速,Idle,
轰油门,Rev,
加速,Accelerate,
刹车,Brake,
打滑漂移,Skid,
车门,Door,car
喇叭,Horn,
警笛,Siren,
轮胎,Tire,
飞机,Airplane,
救护车,Ambulance,
自行车,Bicycle,
船,Boat,
公交车,Bus,
直升机,Helicopter,
喷气机,Jet,
摩托车,Motorcycle,
警车,Police,Car
赛车,Race,Car
轮船,Ship,
航天飞机,Space,Shuttle
潜水艇,Submarine,
地铁,Subway,
坦克,Tank,vehicle
火车,Train,
卡车,Truck,
换挡,Gearshift,
手刹,Handbrake,
引擎盖,Hood,
转向灯,Indicator,
安全带,Seatbelt,
后备箱,Trunk,
雨刮器,Wiper,
出发离开,Depart,
驶过,Drive,By
鸣笛,Honk,
降落,Land,
起飞,Takeoff,
滑行,Taxi,
烧胎,Burnout,
转弯,Corner,
巡航,Cruise,
漂移,Drift,
换挡动作,Gear,Change
超车,Pass,
急加速起步,Peel,Out
倒车,Reverse,
熄火,Stall,
转向,Turn,

# ========================================
# 从 Core High Frequency 自动补充
# ========================================

# --- 补充: Action/Destruction ---
湮灭,Annihilate,physical destruction impact
原子化,Atomize,physical destruction impact
破碎,Break,physical destruction impact
燃烧,Burn,physical destruction impact
倒塌,Collapse,physical destruction impact
腐蚀,Corrode,physical destruction impact
衰败,Decay,physical destruction impact
变形,Deform,physical destruction impact
拆毁,Demolish,physical destruction impact
瓦解,Disintegrate,physical destruction impact
溶解,Dissolve,physical destruction impact
侵蚀,Erode,physical destruction impact
爆炸,Explode,physical destruction impact
碎片化,Fragment,physical destruction impact
内爆,Implode,physical destruction impact
焚化,Incinerate,physical destruction impact
熔化,Melt,physical destruction impact
粉碎,Pulverize,physical destruction impact
破裂,Rupture,physical destruction impact
切断,Sever,physical destruction impact
切碎,Shred,physical destruction impact
汽化,Vaporize,physical destruction impact

# --- 补充: Action/Interaction ---
连接,Attach,physical foley transient
弯曲,Bend,physical foley transient
捆绑,Bind,physical foley transient
接住,Catch,physical foley transient
扣紧,Clasp,physical foley transient
压缩,Compress,physical foley transient
连接,Connect,physical foley transient
裂开,Crack,physical foley transient
弄皱,Crumple,physical foley transient
压碎,Crush,physical foley transient
分离,Detach,physical foley transient
断开,Disconnect,physical foley transient
膨胀,Expand,physical foley transient
伸展,Extend,physical foley transient
固定,Fasten,physical foley transient
折叠,Fold,physical foley transient
摩擦,Friction,physical foley transient
紧握,Grip,physical foley transient
铰链转动,Hinge,physical foley transient
充气,Inflate,physical foley transient
插入,Insert,physical foley transient
接合,Join,physical foley transient
门闩锁住,Latch,physical foley transient
举起,Lift,physical foley transient
捏,Pinch,physical foley transient
插入插头,Plug,physical foley transient
戳,Poke,physical foley transient
拉,Pull,physical foley transient
推,Push,physical foley transient
撕裂,Rip,physical foley transient
摩擦,Rub,physical foley transient
抓,Scratch,physical foley transient
拧螺丝,Screw,physical foley transient
折断,Snap,physical foley transient
挤压,Squeeze,physical foley transient
堆叠,Stack,physical foley transient
拉伸,Stretch,physical foley transient
抚摸,Stroke,physical foley transient
撕破,Tear,physical foley transient
拧紧,Tighten,physical foley transient
触摸,Touch,physical foley transient
扭转,Twist,physical foley transient
展开,Unfold,physical foley transient
解锁,Unlock,physical foley transient
旋松,Unscrew,physical foley transient
拉开拉链,Unzip,physical foley transient
擦拭,Wipe,physical foley transient
包裹,Wrap,physical foley transient
拉拉链,Zip,physical foley transient

# --- 补充: Action/Liquid ---
淹没,Flood,organic liquid ambient
起泡,Froth,organic liquid ambient
涌出,Gush,organic liquid ambient
泄漏,Leak,organic liquid ambient
渗出,Ooze,organic liquid ambient
冲洗,Rinse,organic liquid ambient
吸食声,Slurp,organic liquid ambient
浸泡,Soak,organic liquid ambient
溢出,Spill,organic liquid ambient
啪嗒声(湿物),Splat,organic liquid ambient
喷雾,Spritz,organic liquid ambient
吧唧声(踩泥),Squelch,organic liquid ambient

# --- 补充: Action/Movement ---
上下浮动,Bob,physical movement transient
倾斜疾行,Careen,physical movement transient
飞奔,Dart,physical movement transient
猛冲,Dash,physical movement transient
弹出,Eject,physical movement transient
进入,Enter,physical movement transient
退出,Exit,physical movement transient
漂浮,Float,physical movement transient
拍打,Flutter,physical movement transient
飞奔(马),Gallop,physical movement transient
停顿,Halt,physical movement transient
发射,Launch,physical movement transient
轨道运行,Orbit,physical movement transient
震荡,Oscillate,physical movement transient
枢轴转动,Pivot,physical movement transient
推进,Propel,physical movement transient
脉动,Pulsate,physical movement transient
后坐力,Recoil,physical movement transient
收回,Retract,physical movement transient
旋转,Rotate,physical movement transient
驱散,Scatter,physical movement transient
颤抖,Shiver,physical movement transient
滑行(蛇),Slither,physical movement transient
螺旋,Spiral,physical movement transient
摇摆,Sway,physical movement transient
倾斜,Tilt,physical movement transient
震颤,Tremble,physical movement transient
翻滚,Tumble,physical movement transient
扭曲,Twist,physical movement transient
摇摆行走(鸭子),Waddle,physical movement transient
漫游,Wander,physical movement transient
扭动,Wiggle,physical movement transient
摇晃,Wobble,physical movement transient

# --- 补充: Creature/General ---
生物,Creature,organic creature
呼吸,Breath,organic creature
粘液,Slime,organic creature

# --- 补充: Domestic/Bathroom ---
浴缸,Bath,domestic foley transient
冲水,Flush,domestic foley transient
淋浴,Shower,domestic foley transient
水槽,Sink,domestic foley transient
肥皂,Soap,domestic foley transient
马桶,Toilet,domestic foley transient
牙刷,Toothbrush,domestic foley transient
毛巾,Towel,domestic foley transient

# --- 补充: Domestic/Kitchen ---
搅拌机,Blender,kitchen foley transient
碗,Bowl,kitchen foley transient
罐头,Can,kitchen foley transient
切菜,Chop,kitchen foley transient
咖啡,Coffee,kitchen foley transient
杯子,Cup,kitchen foley transient
餐具,Cutlery,kitchen foley transient
盘子,Dish,kitchen foley transient
洗碗机,Dishwasher,kitchen foley transient
嘶嘶起泡,Fizz,kitchen foley transient
叉子,Fork,kitchen foley transient
冰箱,Fridge,kitchen foley transient
煎炸,Fry,kitchen foley transient
研磨,Grind,kitchen foley transient
冰块,Ice,kitchen foley transient
水壶,Kettle,kitchen foley transient
微波炉,Microwave,kitchen foley transient
搅拌器,Mixer,kitchen foley transient
马克杯,Mug,kitchen foley transient
烤箱,Oven,kitchen foley transient
平底锅,Pan,kitchen foley transient
餐盘,Plate,kitchen foley transient
锅,Pot,kitchen foley transient
冷藏箱,Refrigerator,kitchen foley transient
滋滋声(油炸),Sizzle,kitchen foley transient
勺子,Spoon,kitchen foley transient
炉灶,Stove,kitchen foley transient
茶,Tea,kitchen foley transient
计时器,Timer,kitchen foley transient
烤面包,Toast,kitchen foley transient
烤面包机,Toaster,kitchen foley transient

# --- 补充: Domestic/Utility ---
电池,Battery,utility tool transient
电钻,Drill,utility tool transient
梯子,Ladder,utility tool transient
火柴,Match,utility tool transient
钉子,Nail,utility tool transient
钳子,Plier,utility tool transient
锯子,Saw,utility tool transient
螺丝,Screw,utility tool transient
螺丝刀,Screwdriver,utility tool transient
工具,Tool,utility tool transient
洗衣机,Washing,Machine utility tool transient
扳手,Wrench,utility tool transient

# --- 补充: Foley/Item ---
瓶盖,Bottle,Cap foley object transient
气泡膜,Bubble,Wrap foley object transient
铁丝网,Chain,Link foley object transient
信用卡,Credit,Card foley object transient
纸袋,Paper,Bag foley object transient
按笔声,Pen,Click foley object transient
塑料袋,Plastic,Bag foley object transient
橡皮筋,Rubber,Band foley object transient

# --- 补充: Impact/Nuance ---
砰,Bang,impact physical transient
重击,Bash,impact physical transient
连续猛打,Batter,impact physical transient
敲头声,Bonk,impact physical transient
碰撞,Bump,impact physical transient
当,Clang,impact physical transient
哗啦声,Clatter,impact physical transient
相撞,Collide,impact physical transient
凹陷声,Dent,impact physical transient
叮,Ding,impact physical transient
敲击,Knock,impact physical transient
锤击,Pound,impact physical transient
急敲,Rap,impact physical transient
猛关,Slam,impact physical transient
啪,Smack,impact physical transient
折断,Snap,impact physical transient
打击,Strike,impact physical transient
轻敲,Tap,impact physical transient
重击,Thump,impact physical transient
猛揍,Wallop,impact physical transient
重打,Whack,impact physical transient

# --- 补充: Industrial/Action ---
故障,Breakdown,industrial mechanical sustained
当啷声,Clank,industrial mechanical sustained
沉闷金属声,Clunk,industrial mechanical sustained
研磨,Grind,industrial mechanical sustained
过载,Overload,industrial mechanical sustained
断电,Power,Down industrial mechanical sustained
通电,Power,Up industrial mechanical sustained
处理中,Process,industrial mechanical sustained
旋转,Rotate,industrial mechanical sustained
关机,Shutdown,industrial mechanical sustained
火花,Spark,industrial mechanical sustained
尖叫声(摩擦),Squeal,industrial mechanical sustained
停止,Stop,industrial mechanical sustained
解锁,Unlock,industrial mechanical sustained

# --- 补充: Industrial/Components ---
机械臂,Robot,Arm industrial mechanical loop
开关,Switch,industrial mechanical loop

# --- 补充: Industrial/Construction ---
推土机,Bulldozer,industrial construction mechanical
水泥,Cement,industrial construction mechanical
电锯,Chainsaw,industrial construction mechanical
建筑施工,Construction,industrial construction mechanical
拆除,Demolition,industrial construction mechanical
挖掘,Dig,industrial construction mechanical
钻孔,Drill,industrial construction mechanical
挖掘机,Excavator,industrial construction mechanical
叉车,Forklift,industrial construction mechanical
风钻,Jackhammer,industrial construction mechanical
升降机,Lift,industrial construction mechanical
金属加工,Metal,Work industrial construction mechanical
钉枪,Nail,Gun industrial construction mechanical
打桩机,Pile,Driver industrial construction mechanical
打磨机,Sander,industrial construction mechanical
锯,Saw,industrial construction mechanical
脚手架,Scaffolding,industrial construction mechanical
铲子,Shovel,industrial construction mechanical
焊接,Welding,industrial construction mechanical

# --- 补充: Leisure/Game ---
发牌,Deal,game ui digital transient
筹码,Chip,game ui digital transient
国际象棋,Chess,game ui digital transient
棋盘游戏,Board,Game game ui digital transient
棋子,Piece,game ui digital transient
老虎机,Slot,Machine game ui digital transient
大奖音效,Jackpot,game ui digital transient
弹珠台,Pinball,game ui digital transient
电子游戏,Video,Game game ui digital transient
游戏机,Console,game ui digital transient
手柄,Controller,game ui digital transient
摇杆,Joystick,game ui digital transient
街机,Arcade,game ui digital transient

# --- 补充: Movement/Action ---
跳跃,Jump,movement transient

# --- 补充: Movement/General ---
飞驰而过,Pass,by movement whoosh transient

# --- 补充: Nature/Fire ---
燃烧,Burn,organic fire ambient
火焰,Flame,organic fire ambient

# --- 补充: Nature/Fire_Detail ---
篝火,Bonfire,organic fire ambient
燃烧器,Burner,organic fire ambient
余烬,Ember,organic fire ambient
火球,Fireball,organic fire ambient
信号弹,Flare,organic fire ambient
烈火,Inferno,organic fire ambient
火柴,Match,organic fire ambient
烧焦,Scorch,organic fire ambient
灼烧,Searing,organic fire ambient
烟雾,Smoke,organic fire ambient
烟花棒,Sparkler,organic fire ambient

# --- 补充: Nature/Water ---
水下,Underwater,organic water ambient

# --- 补充: Nature/Water_Action ---
排水,Drain,organic water ambient
投入水中,Plunge,organic water ambient
浸泡,Soak,organic water ambient

# --- 补充: Nature/Wind ---
风啸,Howl,organic wind ambient

# --- 补充: Sound_Word/Air_Wind ---
喘气,Gas,organic air transient
呼气,Huff,organic air transient
喷气,Puff,organic air transient
叹气,Sigh,organic air transient
吸鼻子,Sniff,organic air transient
喷嚏,Sneeze,organic air transient
轻吹,Whiff,organic air transient
嗖嗖声(高速),Whizz,organic air transient
拉链声,Zip,organic air transient
变焦,Zoom,organic air transient

# --- 补充: Sound_Word/Impact_Dull ---
砰(重击),Bam,impact dull transient
敲头声,Bonk,impact dull transient
轻打,Bop,impact dull transient
碰撞,Bump,impact dull transient
沉闷金属声,Clunk,impact dull transient
扑通声(重物),Plonk,impact dull transient
咚咚敲击,Pound,impact dull transient
重击声,Thump,impact dull transient
啪(重打),Whack,impact dull transient
砰(剧烈撞击),Wham,impact dull transient
扑通(沉闷),Whump,impact dull transient

# --- 补充: Sound_Word/Liquid_Wet ---
嘶嘶(气泡),Fizz,organic liquid transient
扑通(入水),Plop,organic liquid transient
吸溜声,Slurp,organic liquid transient
啪嗒(粘稠物),Splat,organic liquid transient
喷溅,Splutter,organic liquid transient
吧唧声(挤压),Squish,organic liquid transient
咕滋声(泥泞),Squelch,organic liquid transient

# --- 补充: Sound_Word/Metal_Glass ---
当啷声(重金属),Clank,metal glass impact transient
叮当声(轻金属,Clink,metal glass impact transient
钟鸣,Chime,metal glass impact transient
叮(提示音),Ding,metal glass impact transient
咚(钟声),Dong,metal glass impact transient
叮叮当当(碎响),Jingle,metal glass impact transient
刺耳金属声,Jangle,metal glass impact transient
铃声,Ring,metal glass impact transient
丁零声(细微),Tinkle,metal glass impact transient
拨弦声,Twang,metal glass impact transient
呼啸声(子弹,Zing,metal glass impact transient

# --- 补充: Sports/Action ---
运球,Dribble,sports action transient
发球,Serve,sports action transient
扣杀,Spike,sports action transient
接球,Catch,sports action transient
拦截,Tackle,sports action transient
全中(保龄球),Strike,sports action transient
补中(保龄球),Spare,sports action transient

# --- 补充: Sports/Ball_Game ---
篮球,Basketball,sports ball transient
棒球,Baseball,sports ball transient
足球,Football,sports ball transient
足球,Soccer,sports ball transient
网球,Tennis,sports ball transient
高尔夫,Golf,sports ball transient
排球,Volleyball,sports ball transient
保龄球,Bowling,sports ball transient
乒乓球,Ping,Pong sports ball transient
台球,Billiards,sports ball transient
台球(花式),Pool,sports ball transient

# --- 补充: Sports/Equipment ---
球拍,Racket,sports equipment transient
捕手手套,Mitt,sports equipment transient
球网,Net,sports equipment transient
篮筐,Rim,sports equipment transient
篮板,Backboard,sports equipment transient
记分牌,Scoreboard,sports equipment transient
计时器,Timer,sports equipment transient

# --- 补充: Sports/Gym ---
跑步机,Treadmill,gym equipment transient
哑铃,Weights,gym equipment transient
杠铃,Barbell,gym equipment transient
哑铃,Dumbbell,gym equipment transient
杠铃片,Plate,gym equipment transient
沙袋,Punching,Bag gym equipment transient
跳绳,Jump,Rope gym equipment transient
垫子,Mat,gym equipment transient

# --- 补充: Sports/Skate ---
滑板,Skateboard,skate action transient
旱冰鞋,Rollerblade,skate action transient
溜冰鞋,Ice,Skate skate action transient
单板滑雪,Snowboard,skate action transient
双板滑雪,Ski,skate action transient
呲杆,Grind,skate action transient
豚跳,Ollie,skate action transient
轮子滚声,Wheel,skate action transient

# --- 补充: Tools/Garden ---
吹叶机,Blower,garden tool transient
链锯,Chainsaw,garden tool transient
软管,Hose,garden tool transient
割草机,Lawnmower,garden tool transient
耙子,Rake,garden tool transient
大剪刀,Shears,garden tool transient
铲子,Shovel,garden tool transient
修剪机,Trimmer,garden tool transient
独轮车,Wheelbarrow,garden tool transient

# --- 补充: Tools/Workshop ---
铁砧,Anvil,workshop tool transient
凿子,Chisel,workshop tool transient
夹具,Clamp,workshop tool transient
锉刀,File,workshop tool transient
砂轮机,Grinder,workshop tool transient
车床,Lathe,workshop tool transient
木槌,Mallet,workshop tool transient
卷尺,Measuring,Tape workshop tool transient
钉子,Nail,workshop tool transient
螺母,Nut,workshop tool transient
油漆,Paint,workshop tool transient
调色板,Palette,workshop tool transient
刨子,Plane,workshop tool transient
钳子,Pliers,workshop tool transient
砂纸,Sandpaper,workshop tool transient
锯子,Saw,workshop tool transient
螺丝,Screw,workshop tool transient
螺丝刀,Screwdriver,workshop tool transient
电烙铁,Soldering,Iron workshop tool transient
扳手(英式),Spanner,workshop tool transient
喷漆罐,Spray,Can workshop tool transient
射钉枪,Staple,Gun workshop tool transient
工具箱,Toolbox,workshop tool transient
台虎钳,Vice,workshop tool transient
焊机,Welder,workshop tool transient
