word_cn,word_en,semantic_hint
机器,Machine,cold digital tense harsh glitch
机器人,Robotic,cold digital tense harsh glitch
工业,Industrial,cold digital tense harsh glitch
金属,Metallic,cold digital tense harsh glitch
冷硬,Cold-hard,cold digital tense harsh glitch
钢铁,Steel,cold digital tense harsh glitch
铝,Aluminum,cold digital tense harsh glitch
# --- 快速/断续 ---
快速,Fast,cold digital tense harsh glitch
急促,Rapid,cold digital tense harsh glitch
口吃,Stutter,cold digital tense harsh glitch
断续,Choppy,cold digital tense harsh glitch
抖动,Jitter,cold digital tense harsh glitch
跳跃,Skip,cold digital tense harsh glitch
闪烁,Flicker,cold digital tense harsh glitch
# --- 混乱/无序 ---
混乱,Chaotic,cold digital tense harsh glitch
随机,Random,cold digital tense harsh glitch
无序,Disordered,cold digital tense harsh glitch
碎片,Fragment,cold digital tense harsh glitch
拼贴,Collage,cold digital tense harsh glitch
解构,Deconstructed,cold digital tense harsh glitch
# --- 科幻/赛博 ---
赛博,Cyber,cold digital tense harsh glitch
矩阵,Matrix,cold digital tense harsh glitch
虚拟,Virtual,cold digital tense harsh glitch
人工,Artificial,cold digital tense harsh glitch
算法,Algorithm,cold digital tense harsh glitch
程序,Program,cold digital tense harsh glitch
病毒,Virus,cold digital tense harsh glitch
黑客,Hacker,cold digital tense harsh glitch
# --- 高频/刺激 ---
尖叫,Screech,cold digital tense harsh glitch
啸叫,Squeal,cold digital tense harsh glitch
刺痛,Sting,cold digital tense harsh glitch
刺穿,Penetrate,cold digital tense harsh glitch
锯齿,Saw,cold digital tense harsh glitch
方波,Square,cold digital tense harsh glitch

# ===== BR = Analog Aggressive (Hot + Tense) 模拟激进 =====
# --- 失真/过载 ---
失真,Distorted,hot analog tense aggressive distorted
过载,Overdrive,hot analog tense aggressive distorted
饱和失真,Saturate,hot analog tense aggressive distorted
削波,Clip,hot analog tense aggressive distorted
爆音,Blow,hot analog tense aggressive distorted
破音,Break-up,hot analog tense aggressive distorted
# --- 绒毛/粗糙 ---
绒毛,Fuzzy,hot analog tense aggressive distorted
毛茸茸,Furry,hot analog tense aggressive distorted
嘎吱,Crunchy,hot analog tense aggressive distorted
粗糙,Gritty,hot analog tense aggressive distorted
砂纸,Sandpaper,hot analog tense aggressive distorted
颗粒,Granular,hot analog tense aggressive distorted
# --- 肮脏/浑浊 ---
肮脏,Dirty,hot analog tense aggressive distorted
污浊,Filthy,hot analog tense aggressive distorted
浑浊,Muddy,hot analog tense aggressive distorted
油腻,Greasy,hot analog tense aggressive distorted
黏糊,Gooey,hot analog tense aggressive distorted
腐烂,Rotten,hot analog tense aggressive distorted
# --- 激进/强烈 ---
激进,Aggressive,hot analog tense aggressive distorted
强烈,Intense,hot analog tense aggressive distorted
强力,Powerful,hot analog tense aggressive distorted
猛烈,Fierce,hot analog tense aggressive distorted
凶猛,Ferocious,hot analog tense aggressive distorted
暴力,Violent,hot analog tense aggressive distorted
# --- 重型/巨大 ---
重型,Heavy,hot analog tense aggressive distorted
巨大,Massive,hot analog tense aggressive distorted
厚重,Weighty,hot analog tense aggressive distorted
沉重,Ponderous,hot analog tense aggressive distorted
压倒性,Overwhelming,hot analog tense aggressive distorted
碾压,Crushing,hot analog tense aggressive distorted
# --- 原始/粗犷 ---
原始,Raw,hot analog tense aggressive distorted
粗犷,Rough,hot analog tense aggressive distorted
残暴,Brutal,hot analog tense aggressive distorted
野蛮,Savage,hot analog tense aggressive distorted
未加工,Unprocessed,hot analog tense aggressive distorted
未修饰,Unpolished,hot analog tense aggressive distorted
# --- 动物/咆哮 ---
咆哮,Growl,hot analog tense aggressive distorted
尖叫,Scream,hot analog tense aggressive distorted
怒吼,Roar,hot analog tense aggressive distorted
嚎叫,Howl,hot analog tense aggressive distorted
嘶吼,Snarl,hot analog tense aggressive distorted
撕裂,Tear,hot analog tense aggressive distorted
# --- 爆炸/雷鸣 ---
轰鸣,Rumble,hot analog tense aggressive distorted
雷鸣,Thunder,hot analog tense aggressive distorted
爆炸,Explosive,hot analog tense aggressive distorted
爆发,Burst,hot analog tense aggressive distorted
喷发,Erupt,hot analog tense aggressive distorted
冲击,Impact,hot analog tense aggressive distorted
# --- 狂野/混乱 ---
狂野,Wild,hot analog tense aggressive distorted
狂暴,Furious,hot analog tense aggressive distorted
疯狂,Crazy,hot analog tense aggressive distorted
失控,Out-of-control,hot analog tense aggressive distorted
暴走,Rampage,hot analog tense aggressive distorted
横冲直撞,Reckless,hot analog tense aggressive distorted
# --- 驱动/能量 ---
驱动,Driving,hot analog tense aggressive distorted
推进,Pushing,hot analog tense aggressive distorted
冲刺,Sprint,hot analog tense aggressive distorted
加速,Accelerate,hot analog tense aggressive distorted
能量,Energetic,hot analog tense aggressive distorted
动力,Dynamic,hot analog tense aggressive distorted
脉冲,Pulse,hot analog tense aggressive distorted
心跳,Heartbeat,hot analog tense aggressive distorted
# --- 摇滚/金属 ---
摇滚,Rock,hot analog tense aggressive distorted
金属,Metal,hot analog tense aggressive distorted
朋克,Punk,hot analog tense aggressive distorted
硬核,Hardcore,hot analog tense aggressive distorted
重金属,Heavy-metal,hot analog tense aggressive distorted
死亡金属,Death-metal,hot analog tense aggressive distorted
# --- 低音/震动 ---
低音,Bass,hot analog tense aggressive distorted
次低音,Sub-bass,hot analog tense aggressive distorted
震动,Vibrate,hot analog tense aggressive distorted
颤抖,Shake,hot analog tense aggressive distorted
地震,Earthquake,hot analog tense aggressive distorted
隆隆,Boom,hot analog tense aggressive distorted
