word_cn,word_en
马克杯,Mug
烤箱,Oven
平底锅,Pan
餐盘,Plate
锅,Pot
冷藏箱,Refrigerator
滋滋声(油炸),Sizzle
勺子,Spoon
炉灶,Stove
茶,Tea
计时器,Timer
烤面包,Toast
烤面包机,Toaster
# === Domestic/Utility ===
电池,Battery
电钻,Drill
梯子,Ladder
火柴,Match
钉子,Nail
钳子,Plier
锯子,Saw
螺丝,Screw
螺丝刀,Screwdriver
工具,Tool
洗衣机,Washing-Machine
扳手,Wrench
# === Foley/Item ===
瓶盖,Bottle-Cap
气泡膜,Bubble-Wrap
铁丝网,Chain-Link
信用卡,Credit-Card
纸袋,Paper-Bag
按笔声,Pen-Click
塑料袋,Plastic-Bag
橡皮筋,Rubber-Band
# === Impact/Nuance ===
砰,Bang
重击,Bash
连续猛打,Batter
敲头声,Bonk
碰撞,Bump
当,Clang
哗啦声,Clatter
相撞,Collide
凹陷声,Dent
叮,Ding
敲击,Knock
锤击,Pound
急敲,Rap
猛关,Slam
啪,Smack
折断,Snap
打击,Strike
轻敲,Tap
重击,Thump
猛揍,Wallop
重打,Whack
# === Industrial/Action ===
故障,Breakdown
当啷声,Clank
沉闷金属声,Clunk
研磨,Grind
过载,Overload
断电,Power-Down
通电,Power-Up
处理中,Process
旋转,Rotate
关机,Shutdown
火花,Spark
尖叫声(摩擦),Squeal
停止,Stop
解锁,Unlock
# === Industrial/Components ===
机械臂,Robot-Arm
开关,Switch
# === Industrial/Construction ===
推土机,Bulldozer
水泥,Cement
电锯,Chainsaw
建筑施工,Construction
拆除,Demolition
挖掘,Dig
钻孔,Drill
挖掘机,Excavator
叉车,Forklift
风钻,Jackhammer
升降机,Lift
金属加工,Metal-Work
钉枪,Nail-Gun
打桩机,Pile-Driver
打磨机,Sander
锯,Saw
脚手架,Scaffolding
铲子,Shovel
焊接,Welding
# === Leisure/Game ===
发牌,Deal
筹码,Chip
国际象棋,Chess
棋盘游戏,Board-Game
棋子,Piece
老虎机,Slot-Machine
大奖音效,Jackpot
弹珠台,Pinball
电子游戏,Video-Game
游戏机,Console
手柄,Controller
摇杆,Joystick
街机,Arcade
# === Movement/Action ===
跳跃,Jump
# === Movement/General ===
飞驰而过,Pass-by
# === Nature/Fire ===
燃烧,Burn
火焰,Flame
# === Nature/Fire_Detail ===
篝火,Bonfire
燃烧器,Burner
余烬,Ember
火球,Fireball
信号弹,Flare
烈火,Inferno
火柴,Match
烧焦,Scorch
灼烧,Searing
烟雾,Smoke
烟花棒,Sparkler
# === Nature/Water ===
水下,Underwater
# === Nature/Water_Action ===
排水,Drain
投入水中,Plunge
浸泡,Soak
# === Nature/Wind ===
风啸,Howl
# === Sound_Word/Air_Wind ===
喘气,Gas
呼气,Huff
喷气,Puff
叹气,Sigh
吸鼻子,Sniff
喷嚏,Sneeze
轻吹,Whiff
嗖嗖声(高速),Whizz
拉链声,Zip
变焦,Zoom
# === Sound_Word/Impact_Dull ===
砰(重击),Bam
敲头声,Bonk
轻打,Bop
碰撞,Bump
沉闷金属声,Clunk
扑通声(重物),Plonk
咚咚敲击,Pound
重击声,Thump
啪(重打),Whack
砰(剧烈撞击),Wham
扑通(沉闷),Whump
# === Sound_Word/Liquid_Wet ===
嘶嘶(气泡),Fizz
扑通(入水),Plop
吸溜声,Slurp
啪嗒(粘稠物),Splat
喷溅,Splutter
吧唧声(挤压),Squish
咕滋声(泥泞),Squelch
# === Sound_Word/Metal_Glass ===
当啷声(重金属),Clank
叮当声(轻金属,Clink
钟鸣,Chime
叮(提示音),Ding
咚(钟声),Dong
叮叮当当(碎响),Jingle
刺耳金属声,Jangle
铃声,Ring
丁零声(细微),Tinkle
拨弦声,Twang
呼啸声(子弹,Zing
# === Sports/Action ===
运球,Dribble
发球,Serve
扣杀,Spike
接球,Catch
拦截,Tackle
全中(保龄球),Strike
补中(保龄球),Spare
# === Sports/Ball_Game ===
篮球,Basketball
棒球,Baseball
足球,Football
足球,Soccer
网球,Tennis
高尔夫,Golf
排球,Volleyball
保龄球,Bowling
乒乓球,Ping-Pong
台球,Billiards
台球(花式),Pool
# === Sports/Equipment ===
球拍,Racket
捕手手套,Mitt
球网,Net
篮筐,Rim
篮板,Backboard
记分牌,Scoreboard
计时器,Timer
# === Sports/Gym ===
跑步机,Treadmill
哑铃,Weights
杠铃,Barbell
哑铃,Dumbbell
杠铃片,Plate
沙袋,Punching-Bag
跳绳,Jump-Rope
垫子,Mat
# === Sports/Skate ===
滑板,Skateboard
旱冰鞋,Rollerblade
溜冰鞋,Ice-Skate
单板滑雪,Snowboard
双板滑雪,Ski
呲杆,Grind
豚跳,Ollie
轮子滚声,Wheel
# === Tools/Garden ===
吹叶机,Blower
链锯,Chainsaw
软管,Hose
割草机,Lawnmower
耙子,Rake
大剪刀,Shears
铲子,Shovel
修剪机,Trimmer
独轮车,Wheelbarrow
# === Tools/Workshop ===
铁砧,Anvil
凿子,Chisel
夹具,Clamp
锉刀,File
砂轮机,Grinder
车床,Lathe
木槌,Mallet
卷尺,Measuring-Tape
钉子,Nail
螺母,Nut
油漆,Paint
调色板,Palette
刨子,Plane
钳子,Pliers
砂纸,Sandpaper
锯子,Saw
螺丝,Screw
螺丝刀,Screwdriver
电烙铁,Soldering-Iron
扳手(英式),Spanner
喷漆罐,Spray-Can
射钉枪,Staple-Gun
工具箱,Toolbox
台虎钳,Vice
焊机,Welder
扳手,Wrench
# === Vehicles/Action ===
驶过,Drive-By
# === Vehicles/Maneuver ===
换挡,Gear-Change
急加速起步,Peel-Out
# === Vehicles/Part_Detail ===
转向灯,Blinker
引擎盖(英式),Bonnet
后备箱(英式),Boot
仪表盘,Dashboard
排气,Exhaust
车库,Garage
把手,Handle
轮毂盖,Hubcap
点火装置,Ignition
消声器,Muffler
踏板,Pedal
车载收音机,Radio
座椅,Seat
悬挂,Suspension
变速箱,Transmission
车轮,Wheel
挡风玻璃,Windshield
# === Vehicles/Type ===
单车,Bike
直升机(俗称),Chopper
消防车,Fire-Truck
卡车(英式),Lorry
飞机,Plane
警车,Police-Car
赛车,Race-Car
航天飞机,Space-Shuttle
有轨电车,Tram
货车,Van
# === Weapons/Archery ===
尾羽摩擦,Fletching
靶子,Target
# === Weapons/Explosive ===
定时器,Timer
# === Weapons/Firearm ===
突击步枪,Assault-Rifle
栓动,Bolt-Action
空枪,Dry-Fire
机枪,Machine-Gun
泵动,Pump-Action
半自动,Semi-Auto
