word_cn,word_en,semantic_hint
沼泽,Swamp,distant muffled warm murky
湿地,Wetland,distant muffled warm diffused
沼泽地,Marsh,distant muffled warm murky
森林深处,Deep,Forest distant warm absorbed soft
热带雨林,Rainforest,distant warm absorbed dark
丛林,Jungle,distant warm absorbed dark
树林,Woods,distant warm soft absorbed
树冠下,Under,Canopy distant warm absorbed dark
地牢,Dungeon,distant warm muffled dark
地窖,Cellar,distant warm muffled dark
墓穴,Crypt,distant warm muffled dark
陵墓,Tomb,distant warm muffled dark
布料大厅,Fabric,Hall distant warm soft muffled
剧场后台,Backstage,distant warm muffled fabric
帐篷内,Inside,Tent distant warm soft muffled

# --- 材质属性 ---
水,Water,distant muffled warm submerged
泥,Mud,distant muffled warm murky
泥泞,Muddy,distant muffled warm murky
淤泥,Silt,distant muffled warm murky
苔藓,Moss,distant warm soft absorbed
树叶,Leaves,distant warm soft absorbed
植被,Vegetation,distant warm soft absorbed
厚重布料,Heavy,Fabric distant warm soft muffled
帆布,Canvas,distant warm soft muffled
厚帘,Heavy,Curtain distant warm soft muffled

# --- 声学特征 ---
浸没,Submerged,distant muffled warm underwater
沉浸,Immersed,distant muffled warm underwater
扩散,Diffused,distant soft warm scattered
弥漫,Permeating,distant soft warm ambient
模糊,Blurred,distant muffled warm hazy
朦胧,Hazy,distant muffled warm soft
浑浊,Murky,distant muffled warm dark
暗淡,Dark,distant muffled warm gloomy
阴沉,Gloomy,distant muffled warm dark
低通滤波,Low,Pass Filtered distant muffled warm
高频衰减,High,Cut distant muffled warm
闷响,Dull,Distant distant muffled warm
遥远,Distant,Sound distant muffled warm far
远方,Far,Away distant muffled warm
隔墙,Through,Wall distant muffled warm
隔门,Through,Door distant muffled warm
吸收,Absorbed,distant warm soft
衰减,Attenuated,distant muffled warm

# --- 自然环境 ---
深渊,Abyss,distant dark warm muffled
深潭,Deep,Pool distant muffled warm dark
暗河,Underground,River distant muffled warm dark
洞穴湖,Cave,Lake distant muffled warm dark
雾林,Fog,Forest distant diffused warm soft
雨林,Rain,Forest distant absorbed warm dark

# ===== 中性/过渡词汇 =====

# --- 通用空间 ---
房间,Room,moderate neutral
中型房间,Medium,Room moderate neutral
办公室,Office,moderate neutral
会议室,Conference,Room moderate neutral
教室,Classroom,moderate neutral
走廊,Hallway,moderate neutral
过道,Corridor,moderate neutral
楼梯间,Stairwell,moderate neutral
大厅,Lobby,moderate neutral
接待处,Reception,moderate neutral
酒店大堂,Hotel,Lobby moderate neutral
候机厅,Airport,Terminal moderate neutral
车站,Train,Station moderate neutral
购物中心,Shopping,Mall moderate neutral
超市,Supermarket,moderate neutral

# --- 透视/距离修饰 ---
近景,Close,Up close perspective
中景,Medium,Shot moderate perspective
远景,Wide,Shot distant perspective
特写,Extreme,Close Up close perspective intimate
背景,Background,distant perspective ambient
前景,Foreground,close perspective
画外,Off,Screen distant perspective
主观视角,POV,close perspective intimate
双耳录音,Binaural,close perspective spatial
立体声,Stereo,moderate perspective spatial
环绕声,Surround,distant perspective spatial
单声道,Mono,moderate perspective

# --- 尺度修饰 ---
微型,Tiny,close small
小型,Small,close
中型,Medium,moderate
大型,Large,distant
巨型,Huge,distant vast
庞大,Massive,distant vast
宏大,Grand,distant vast
无限,Infinite,distant vast
开阔,Open,distant vast
封闭,Enclosed,close confined
狭窄,Narrow,close confined
宽敞,Spacious,distant open
