word_cn,word_en,semantic_hint,category
柔焦,Soft-focus,hot analog warm relaxed mellow vintage,adjective
温馨,Heartwarming,hot analog warm relaxed mellow vintage,adjective
亲切,Friendly,hot analog warm relaxed mellow vintage,adjective
治愈,Healing,hot analog warm relaxed mellow vintage,adjective
催眠,Hypnotic,hot analog warm relaxed mellow vintage,adjective
梦幻,Dreamy,hot analog warm relaxed mellow vintage,adjective
浪漫,Romantic,hot analog warm relaxed mellow vintage,adjective
感性,Sensual,hot analog warm relaxed mellow vintage,noun
故障,Glitch,cold digital tense harsh glitch,adjective
像素,Pixel,cold digital tense harsh glitch,adjective
位元,Bit,cold digital tense harsh glitch,noun
数据,Data,cold digital tense harsh glitch,noun
二进制,Binary,cold digital tense harsh glitch,adjective
代码,Code,cold digital tense harsh glitch,noun
错误,Error,cold digital tense harsh glitch,verb
损坏,Corrupt,cold digital tense harsh glitch,noun
破碎,Broken,cold digital tense harsh glitch,verb
崩溃,Crash,cold digital tense harsh glitch,verb
死机,Freeze,cold digital tense harsh glitch,verb
尖锐,Sharp,cold digital tense harsh glitch,adjective
刺耳,Harsh,cold digital tense harsh glitch,verb
刺激,Piercing,cold digital tense harsh glitch,noun
切割,Cutting,cold digital tense harsh glitch,verb
锋利,Edgy,cold digital tense harsh glitch,adjective
针刺,Needle,cold digital tense harsh glitch,noun
刀片,Blade,cold digital tense harsh glitch,verb
噪声,Noise,cold digital tense harsh glitch,adjective
静电,Static,cold digital tense harsh glitch,verb
干扰,Interference,cold digital tense harsh glitch,adjective
杂音,Crackle,cold digital tense harsh glitch,verb
嗡嗡,Buzz,cold digital tense harsh glitch,adjective
嘶嘶,Hiss,cold digital tense harsh glitch,noun
紧张,Tense,cold digital tense harsh glitch,adjective
焦虑,Anxious,cold digital tense harsh glitch,adjective
躁动,Restless,cold digital tense harsh glitch,adjective
神经质,Nervous,cold digital tense harsh glitch,adjective
不安,Uneasy,cold digital tense harsh glitch,adjective
警觉,Alert,cold digital tense harsh glitch,adjective
机械,Mechanical,cold digital tense harsh glitch,noun
机器,Machine,cold digital tense harsh glitch,noun
机器人,Robotic,cold digital tense harsh glitch,noun
工业,Industrial,cold digital tense harsh glitch,noun
金属,Metallic,cold digital tense harsh glitch,adjective
冷硬,Cold-hard,cold digital tense harsh glitch,adjective
钢铁,Steel,cold digital tense harsh glitch,noun
铝,Aluminum,cold digital tense harsh glitch,noun
快速,Fast,cold digital tense harsh glitch,verb
急促,Rapid,cold digital tense harsh glitch,verb
口吃,Stutter,cold digital tense harsh glitch,verb
断续,Choppy,cold digital tense harsh glitch,adjective
抖动,Jitter,cold digital tense harsh glitch,noun
跳跃,Skip,cold digital tense harsh glitch,verb
闪烁,Flicker,cold digital tense harsh glitch,verb
混乱,Chaotic,cold digital tense harsh glitch,adjective
随机,Random,cold digital tense harsh glitch,adjective
无序,Disordered,cold digital tense harsh glitch,adjective
碎片,Fragment,cold digital tense harsh glitch,noun
拼贴,Collage,cold digital tense harsh glitch,noun
解构,Deconstructed,cold digital tense harsh glitch,noun
赛博,Cyber,cold digital tense harsh glitch,adjective
矩阵,Matrix,cold digital tense harsh glitch,noun
虚拟,Virtual,cold digital tense harsh glitch,adjective
人工,Artificial,cold digital tense harsh glitch,adjective
算法,Algorithm,cold digital tense harsh glitch,noun
程序,Program,cold digital tense harsh glitch,adjective
病毒,Virus,cold digital tense harsh glitch,adjective
黑客,Hacker,cold digital tense harsh glitch,adjective
尖叫,Screech,cold digital tense harsh glitch,noun
啸叫,Squeal,cold digital tense harsh glitch,verb
刺痛,Sting,cold digital tense harsh glitch,verb
刺穿,Penetrate,cold digital tense harsh glitch,noun
锯齿,Saw,cold digital tense harsh glitch,noun
方波,Square,cold digital tense harsh glitch,noun
失真,Distorted,hot analog tense aggressive distorted,noun
过载,Overdrive,hot analog tense aggressive distorted,verb
饱和失真,Saturate,hot analog tense aggressive distorted,noun
削波,Clip,hot analog tense aggressive distorted,noun
爆音,Blow,hot analog tense aggressive distorted,verb
破音,Break-up,hot analog tense aggressive distorted,verb
绒毛,Fuzzy,hot analog tense aggressive distorted,noun
毛茸茸,Furry,hot analog tense aggressive distorted,noun
嘎吱,Crunchy,hot analog tense aggressive distorted,adjective
粗糙,Gritty,hot analog tense aggressive distorted,adjective
砂纸,Sandpaper,hot analog tense aggressive distorted,noun
颗粒,Granular,hot analog tense aggressive distorted,noun
肮脏,Dirty,hot analog tense aggressive distorted,adjective
污浊,Filthy,hot analog tense aggressive distorted,adjective
浑浊,Muddy,hot analog tense aggressive distorted,verb
油腻,Greasy,hot analog tense aggressive distorted,noun
黏糊,Gooey,hot analog tense aggressive distorted,noun
腐烂,Rotten,hot analog tense aggressive distorted,noun
激进,Aggressive,hot analog tense aggressive distorted,verb
强烈,Intense,hot analog tense aggressive distorted,verb
强力,Powerful,hot analog tense aggressive distorted,adjective
猛烈,Fierce,hot analog tense aggressive distorted,verb
凶猛,Ferocious,hot analog tense aggressive distorted,adjective
暴力,Violent,hot analog tense aggressive distorted,verb
重型,Heavy,hot analog tense aggressive distorted,adjective
巨大,Massive,hot analog tense aggressive distorted,noun
厚重,Weighty,hot analog tense aggressive distorted,adjective
沉重,Ponderous,hot analog tense aggressive distorted,adjective
压倒性,Overwhelming,hot analog tense aggressive distorted,verb
碾压,Crushing,hot analog tense aggressive distorted,verb
原始,Raw,hot analog tense aggressive distorted,noun
粗犷,Rough,hot analog tense aggressive distorted,adjective
残暴,Brutal,hot analog tense aggressive distorted,verb
野蛮,Savage,hot analog tense aggressive distorted,verb
未加工,Unprocessed,hot analog tense aggressive distorted,adjective
未修饰,Unpolished,hot analog tense aggressive distorted,adjective
咆哮,Growl,hot analog tense aggressive distorted,noun
尖叫,Scream,hot analog tense aggressive distorted,verb
怒吼,Roar,hot analog tense aggressive distorted,verb
嚎叫,Howl,hot analog tense aggressive distorted,noun
嘶吼,Snarl,hot analog tense aggressive distorted,noun
撕裂,Tear,hot analog tense aggressive distorted,verb
轰鸣,Rumble,hot analog tense aggressive distorted,verb
雷鸣,Thunder,hot analog tense aggressive distorted,verb
爆炸,Explosive,hot analog tense aggressive distorted,verb
爆发,Burst,hot analog tense aggressive distorted,verb
喷发,Erupt,hot analog tense aggressive distorted,verb
冲击,Impact,hot analog tense aggressive distorted,verb
狂野,Wild,hot analog tense aggressive distorted,noun
狂暴,Furious,hot analog tense aggressive distorted,adjective
疯狂,Crazy,hot analog tense aggressive distorted,verb
失控,Out-of-control,hot analog tense aggressive distorted,verb
暴走,Rampage,hot analog tense aggressive distorted,verb
横冲直撞,Reckless,hot analog tense aggressive distorted,adjective
驱动,Driving,hot analog tense aggressive distorted,noun
推进,Pushing,hot analog tense aggressive distorted,verb
冲刺,Sprint,hot analog tense aggressive distorted,verb
加速,Accelerate,hot analog tense aggressive distorted,verb
能量,Energetic,hot analog tense aggressive distorted,verb
动力,Dynamic,hot analog tense aggressive distorted,verb
脉冲,Pulse,hot analog tense aggressive distorted,verb
心跳,Heartbeat,hot analog tense aggressive distorted,verb
摇滚,Rock,hot analog tense aggressive distorted,noun
金属,Metal,hot analog tense aggressive distorted,noun
朋克,Punk,hot analog tense aggressive distorted,verb
硬核,Hardcore,hot analog tense aggressive distorted,adjective
重金属,Heavy-metal,hot analog tense aggressive distorted,noun
死亡金属,Death-metal,hot analog tense aggressive distorted,noun
低音,Bass,hot analog tense aggressive distorted,noun
次低音,Sub-bass,hot analog tense aggressive distorted,noun
震动,Vibrate,hot analog tense aggressive distorted,verb
颤抖,Shake,hot analog tense aggressive distorted,verb
地震,Earthquake,hot analog tense aggressive distorted,adjective
隆隆,Boom,hot analog tense aggressive distorted,verb
贴耳,Intimate,,adjective
近距,Close-up,,noun
贴近,Proximate,,adjective
靠近,Near,,noun
干涩,Bone-dry,,adjective
干燥,Arid,,adjective
无混响,Anechoic,,noun
死寂,Dead,,adjective
录音棚,Studio-like,,noun
隔音,Soundproofed,,adjective
幽闭,Claustrophobic,,verb
狭窄,Narrow,,adjective
逼仄,Cramped,,noun
局促,Confined,,noun
闷热,Stuffy,,adjective
窒息,Suffocating,,verb
盒装,Boxy,,noun
柜子,Cabinet-like,,noun
衣柜,Closet-like,,noun
抽屉,Drawer-like,,noun
小房间,Small-room,,noun
浴室,Bathroom-like,,noun
电话,Telephone-like,,adjective
对讲机,Walkie-talkie,,verb
收音机,Radio-like,,noun
低质,Lo-fi-space,,noun
压缩,Compressed,,verb
扁平,Flat,,adjective
单薄,Thin-space,,noun
无深度,Depthless,,adjective
混响,Reverberant,,noun
回声,Echoey,,noun
回荡,Reverberating,,noun
大厅,Hall-like,,noun
音乐厅,Concert-hall,,noun
剧院,Theater-like,,verb
礼堂,Auditorium,,noun
教堂,Church-like,,noun
大教堂,Cathedral,,noun
穹顶,Domed,,adjective
圆顶,Vaulted,,adjective
拱形,Arched,,verb
石室,Stone-chamber,,noun
地下室,Basement,,noun
地窖,Cellar,,noun
隧道,Tunnel-like,,noun
管道,Pipe-like,,verb
金属管,Tubular,,verb
走廊,Corridor,,noun
过道,Hallway,,noun
楼梯间,Stairwell,,noun
电梯井,Elevator-shaft,,noun
回廊,Cloister,,noun
中庭,Atrium,,noun
仓库,Warehouse,,noun
工厂,Factory-like,,noun
车库,Garage-like,,noun
停车场,Parking-lot,,noun
体育馆,Gymnasium,,noun
清晰,Present,,noun
直接,Direct,,verb
聚焦,Focused,,verb
锐利,Sharp-space,,noun
前置,Upfront,,noun
突出,Prominent,,noun
明确,Defined,,adjective
清楚,Articulate,,noun
分明,Distinct,,adjective
透彻,Transparent-space,,noun
广角,Wide-angle,,noun
宽幅,Wide-spread,,adjective
展开,Spread-out,,verb
平坦,Flat-field,,noun
平原,Plain-like,,adjective
草地,Meadow-like,,noun
田野,Field-like,,noun
户外近景,Outdoor-close,,noun
露天,Open-air,,noun
阳台,Balcony,,noun
露台,Terrace,,noun
庭院,Courtyard,,noun
花园,Garden,,noun
公园,Park-like,,noun
街道,Street-level,,noun
城市,Urban,,noun
市区,Downtown,,noun
巷子,Alley,,noun
广场近景,Plaza-close,,noun
操场,Playground,,noun
扩散,Diffused,,noun
弥漫,Permeating,,verb
散射,Scattered,,verb
遥远,Distant,,noun
远方,Far-away,,noun
天边,Horizon,,noun
辽阔,Vast,,noun
无垠,Endless-space,,noun
宏大,Grand,,adjective
壮阔,Magnificent,,adjective
环境,Environmental,,noun
沉浸,Immersive,,adjective
包围,Enveloping,,noun
环绕,Surrounding,,noun
360度,Surround,,noun
全景,Panoramic,,noun
立体,Stereo-field,,noun
峡谷,Canyon,,noun
山谷,Valley,,noun
山脉,Mountain-range,,noun
高原,Plateau,,noun
沙漠,Desert,,noun
荒野,Wilderness,,noun
森林,Forest,,noun
丛林,Jungle,,noun
海洋,Ocean,,noun
深海,Deep-sea,,noun
中等距离,Medium-distance,,noun
适中,Moderate,,adjective
自然空间,Natural-space,,noun
房间,Room-sized,,noun
客厅,Living-room,,noun
卧室,Bedroom,,noun
办公室,Office-like,,noun
会议室,Conference-room,,noun
教室,Classroom,,noun
图书馆,Library-like,,noun
咖啡馆,Cafe-like,,noun
餐厅,Restaurant,,noun
酒吧,Bar-like,,noun
俱乐部,Club-like,,noun
地铁,Subway,,noun
火车站,Train-station,,noun
机场,Airport,,noun
候机厅,Terminal,,noun
购物中心,Mall,,noun
超市,Supermarket,,noun
医院,Hospital-like,,noun
学校,School-like,,noun
博物馆,Museum,,noun
画廊,Gallery,,adjective
实验室,Laboratory,,noun
温室,Greenhouse,,noun
水族馆,Aquarium,,noun
动物园,Zoo-like,,noun
游乐场,Amusement-park,,noun
电影院,Cinema,,verb
风声,Wind,,verb
微风,Breeze,,adjective
狂风,Gale,,noun
暴风,Storm,wind,verb
呼啸风,Howling,wind,verb
阵风,Gust,,verb
气流,Draft,,noun
雨声,Rain,,noun
细雨,Drizzle,,noun
暴雨,Downpour,,noun
雷雨,Thunderstorm,,verb
冰雹,Hail,,verb
暴风雪,Blizzard,,noun
雪暴,Snowstorm,,verb
树叶,Leaves,,noun
树枝,Branches,,noun
灌木,Bushes,,noun
河流,River,,noun
溪流,Stream,,verb
瀑布,Waterfall,,verb
潮汐,Tides,,noun
海滩,Beach,,noun
洞穴环境,Cave,ambience,noun
山脉,Mountain,,noun
沼泽,Swamp,,noun
火焰,Fire,,verb
篝火,Campfire,,noun
壁炉,Fireplace,,noun
烈焰,Blaze,,noun
余烬,Embers,,noun
燃烧,Burning,,verb
火把,Torch,,noun
鸟鸣,Birdsong,,noun
虫鸣,Insects,,noun
蛙叫,Frogs,,noun
蝉鸣,Cicadas,,noun
蟋蟀,Crickets,,verb
呼吸,Breathing,,adjective
喘息,Panting,,verb
叹息,Sighing,,adjective
鼾声,Snoring,,adjective
地下空间,Underground,,noun
深渊氛围,Abyss,ambience,noun
空旷野外,Open,field,noun
环境音,Ambience,,noun
房间底噪,Room,Tone,noun
城市环境,City,ambience,noun
交通声,Traffic,,adjective
人群声,Crowd,,verb
掌声,Applause,,adjective
欢呼,Cheer,,adjective
笑声,Laugh,,adjective
长音低鸣,Drone,,noun
气泡,Bubble,,verb
流动,Flow,,verb
倾倒,Pour,,noun
水,Water,,noun
溅水,Splash,,noun
滴水,Drip,,verb
潜入,Submerge,,noun
急流,Torrent,,adjective
细流,Trickle,,verb
波浪,Wave,,verb
沸腾,Boil,,verb
咕噜声,Gurgle,,noun
涟漪,Ripple,,verb
晃动溅泼,Slosh,,adjective
喷洒,Spray,,verb
洒水器,Sprinkler,,verb
喷射,Squirt,,noun
浪涌汹涌,Surge,,noun
漩涡,Swirl,,noun
冲刷,Wash,,noun
点火,Ignite,,verb
闪电,Lightning,,verb
雾环境音,Fog,,adjective
飓风,Hurricane,,verb
龙卷风,Tornado,,adjective
咀嚼咬合,Chomp,,verb
农场,Farm,,adjective
港口,Harbor,,noun
公园,Park,,noun
脚步,Footsteps,,verb
跑步,Running,,adjective
跳跃,Jumping,,verb
着地,Landing,,verb
踩踏,Stomping,,verb
拳击,Punch,,verb
掌掴,Slap,,verb
踢打,Kick,,verb
摔倒,Body,fall,noun
翻滚,Tumbling,,verb
木头碎裂,Wood,break,adjective
树枝折断,Branch,snap,noun
骨折,Bone,crack,verb
关节响,Joint,pop,noun
脖子扭动,Neck,twist,noun
陶瓷破碎,Ceramic,break,noun
石头碰撞,Stone,impact,noun
岩石崩塌,Rockslide,,noun
碎石,Gravel,crunch,noun
布料撕裂,Cloth,tear,noun
纸张,Paper,,noun
绳索,Rope,,noun
链条,Chains,,noun
门开关,Door,,noun
抽屉,Drawer,,noun
柜子,Cabinet,,noun
窗户,Window,,noun
锁扣,Lock,,noun
浸入,Submersion,,noun
溅射,Splatter,,noun
切菜,Chopping,,adjective
烹饪,Cooking,,noun
煎炸,Frying,,noun
沸腾锅,Boiling,pot,verb
倒酒,Pouring,drink,verb
撞击,Hit,,verb
闷响,Thud,,verb
粉碎,Smash,,verb
倒地,Bodyfall,,adjective
塑料撞击,Plastic,impact,noun
混凝土撞击,Concrete,impact,noun
肉体撞击,Flesh,impact,noun
沥青,Asphalt,,noun
砖块,Brick,,noun
纸板,Cardboard,,noun
泥土尘土,Dirt,,adjective
织物,Fabric,,noun
枝叶植被,Foliage,,noun
油毡地板革,Linoleum,,adjective
大理石,Marble,,noun
泥浆,Mud,,adjective
瓷器,Porcelain,,noun
橡胶,Rubber,,noun
沙子,Sand,,noun
雪,Snow,,adjective
瓷砖,Tile,,noun
薄金属,Tin,,noun
反弹,Bounce,,verb
崩塌碎裂,Crumble,,adjective
哑弹闷响,Dud,,verb
擦过掠过,Glance,,noun
跳弹反弹,Ricochet,,adjective
粉碎玻璃,Shatter,,verb
裂片木头,Splinter,,verb
呼啸嗖声,Whoosh,,noun
飞掠声,Swoosh,,noun
挥动声,Swish,,adjective
飞驰而过,Pass,by,noun
飞越,Flyby,,noun
多普勒效应,Doppler,,verb
沙沙声摩擦声,Rustle,,noun
滑动,Slide,,verb
刮擦,Scrape,,adjective
拖拽,Drag,,verb
嘎吱声,Creak,,adjective
咔嗒声震动声,Rattle,,verb
掉落,Drop,,verb
攀爬,Climb,,adjective
爬行,Crawl,,verb
潜水俯冲,Dive,,noun
跌落,Fall,,verb
拍打翅膀布料,Flap,,noun
轻弹,Flick,,adjective
滑翔,Glide,,verb
抓取,Grab,,adjective
滚动,Roll,,verb
奔跑,Run,,adjective
手脚并用攀爬,Scramble,,adjective
急促跑动小生物,Scurry,,adjective
拖着脚走,Shuffle,,verb
旋转,Spin,,verb
游泳,Swim,,noun
摆动,Swing,,verb
投掷,Throw,,verb
踮脚尖,Tiptoe,,noun
行走,Walk,,verb
喷雾剂,Aerosol,,adjective
包袋子,Bag,,noun
气球,Balloon,,verb
铃铛,Bell,,noun
书本,Book,,noun
瓶盖,Bottle,Cap,noun
盒子箱子,Box,,noun
水桶,Bucket,,noun
相机,Camera,,noun
卡片,Card,,noun
现金,Cash,,noun
粉笔,Chalk,,noun
香烟,Cigarette,,noun
硬币,Coin,,noun
软木塞,Cork,,noun
信用卡,Credit,Card,noun
骰子,Dice,,adjective
手套,Glove,,noun
珠宝首饰,Jewelry,,noun
钥匙,Key,,noun
打火机,Lighter,,adjective
钱,Money,,noun
按笔声,Pen,Click,noun
手机,Phone,,adjective
手提包,Purse,,noun
行李箱,Suitcase,,noun
玩具,Toy,,noun
雨伞,Umbrella,,noun
魔术贴,Velcro,,adjective
钱包,Wallet,,noun
口哨,Whistle,,noun
拉链,Zipper,,noun
飞船待机,Spaceship,idle,noun
引擎轰鸣,Engine,hum,noun
推进器,Thruster,,noun
反应堆,Reactor,,noun
核心,Core,hum,noun
力场,Force,field,noun
护盾,Shield,,adjective
能量罩,Energy,dome,noun
屏障,Barrier,,noun
防护,Protection,field,noun
电流,Electric,current,noun
电弧,Arc,,adjective
电磁,Electromagnetic,,noun
高压,High,voltage,adjective
雷达,Radar,,noun
声呐,Sonar,,noun
探测,Detection,,noun
扫描,Scanning,,noun
合成铺底,Synth,pad,noun
机械呼吸,Mech,breathing,noun
液压待机,Hydraulic,idle,verb
气压,Pneumatic,,verb
外星氛围,Alien,ambience,noun
异世界,Otherworldly,,adjective
虫洞,Wormhole,,noun
超空间,Hyperspace,,noun
次元裂隙,Dimensional,rift,noun
恐怖氛围,Horror,drone,adjective
惊悚氛围,Suspense,drone,noun
紧张氛围,Tension,drone,adjective
不安氛围,Unease,drone,adjective
诡异氛围,Eerie,drone,adjective
工厂,Factory,,noun
机械装置,Machinery,,adjective
机制,Mechanism,,noun
加工,Processing,,verb
生产,Production,,noun
轴承,Bearing,,noun
皮带,Belt,,noun
链条工业,Chain,,noun
齿轮小,Cog,,noun
压缩机,Compressor,,verb
传送带,Conveyor,,noun
起重机,Crane,,noun
气缸,Cylinder,,noun
风扇排气扇,Fan,,noun
齿轮,Gear,,adjective
发电机,Generator,,noun
杠杆拉杆,Lever,,noun
马达,Motor,,noun
活塞,Piston,,verb
泵,Pump,,verb
滑轮,Pulley,,noun
棘轮,Ratchet,,noun
机械臂,Robot,Arm,noun
转子,Rotor,,noun
伺服电机,Servo,,adjective
弹簧,Spring,,noun
蒸汽,Steam,,noun
储罐,Tank,,verb
涡轮,Turbine,,noun
通风口,Vent,,noun
嗡嗡声,Hum,,noun
呼呼声旋转,Whir,,noun
科幻,Sci,Fi,noun
激光,Laser,,adjective
等离子,Plasma,,verb
充能,Power,Up,noun
传送,Teleport,,adjective
机器人,Droid,,noun
变形,Transformation,,verb
警报科幻,Alarm,scifi,adjective
电脑主机,Computer,,adjective
生化人,Cyborg,,adjective
对接,Docking,,noun
全息图,Hologram,,adjective
超空间引擎,Hyperdrive,,noun
接口,Interface,,adjective
故障科幻,Malfunction,scifi,verb
纳米机器人,Nanobot,,noun
跃迁,Warp,,adjective
遥测信号,Telemetry,,adjective
光束,Beam,,noun
粒子束,Particle,beam,noun
离子,Ion,blast,noun
UI点击,UI,click,noun
通知音,Notification,,adjective
成功,Success,,adjective
变形机械,Morph,mech,adjective
组装,Assembly,,noun
分解,Disassembly,,verb
折叠,Folding,mech,verb
系统崩溃,System,crash,noun
瞬移,Blink,,verb
相位,Phase,shift,adjective
量子,Quantum,,noun
枪,Gun,,verb
射击,Shot,,verb
换弹,Reload,,noun
弹壳,Shell,,adjective
子弹,Bullet,,verb
爆炸,Explosion,,verb
爆破,Blast,,verb
碎片残骸,Debris,,noun
剑,Sword,,verb
刀,Knife,,adjective
匕首,Dagger,,adjective
入鞘,Sheath,,noun
出鞘,Unsheath,,adjective
突击步枪,Assault,Rifle,verb
全自动,Automatic,,adjective
栓动,Bolt,Action,noun
加农炮,Cannon,,noun
上膛,Cocking,,adjective
空枪击空,Dry,Fire,adjective
操作拿取,Handling,,verb
收枪入套,Holster,,noun
弹匣,Magazine,,noun
手枪,Pistol,,verb
左轮手枪,Revolver,,verb
步枪,Rifle,,verb
保险开关,Safety,,adjective
半自动,Semi,Auto,noun
散弹枪,Shotgun,,verb
消音器,Silencer,,adjective
